URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/ModifiedAdministrativeGender"
https://interop.esante.gouv.fr/ig/fhir/test-logical-model/CodeSystem/competence-code-system,0.1.0,draft,,CompetenceCS,Compétences CodeSystem,"Compétences des professionnels de santé.","ValueSet/MeltingPotVS"
https://interop.esante.gouv.fr/ig/fhir/test-logical-model/CodeSystem/type-carte-code-system,0.1.0,draft,,TypeCarteCS,Type de carte,"Type de carte professionnelle et personnelle.","ValueSet/MeltingPotVS,ValueSet/TypeCarteVS"
